Channel Text File,,,,,,,,,,,,,,,,,,,,,,
Prj,,,,,,,,,,,,,,,,,,,,,,
Author,,,,,,,,,,,,,,,,,,,,,,
JobMode,Grid,,,,,,,,,,,,,,,,,,,,,
XCells,220,,,,,,,,,,,,,,,,,,,,,
YCells,220,,,,,,,,,,,,,,,,,,,,,
XStep,0.2,,,,,,,,,,,,,,,,,,,,,
YStep,0.2,,,,,,,,,,,,,,,,,,,,,
AcqE1,0,,,,,,,,,,,,,,,,,,,,,
AcqE2,0,,,,,,,,,,,,,,,,,,,,,
AcqE3,0,,,,,,,,,,,,,,,,,,,,,
Euler angles refer to Sample Coordinate system (CS0)!,Mag,2500,Coverage,49,Device,0,KV,15,TiltAngle,70,TiltAxis,0,DetectorOrientationE1,358.9641,DetectorOrientationE2,95.5515,DetectorOrientationE3,358.4895,WorkingDistance,24.6958,InsertionDistance,178.5
Phases,2,,,,,,,,,,,,,,,,,,,,,
2.950;2.950;4.681,90.000;90.000;120.000,Titanium-Hexagonal,9,194,,,"Z. Metallkd. [ZEMTAE], _ 59, _____ 377",,,,,,,,,,,,,,,
3.311;3.311;3.311,90.000;90.000;90.000,Titanium-Cubic,11,229,,,"Z. Metallkd. [ZEMTAE], _ 59, _____ 377",,,,,,,,,,,,,,,
Phase,X,Y,Bands,Error,Euler1,Euler2,Euler3,MAD,BC,BS,,,,,,,,,,,,
0,20.8,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
1,21,0,6,0,2.2888,78.469,25.8076,1.7593,108,255,,,,,,,,,,,,
0,21.2,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,21.4,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,21.6,0,0,3,0,0,0,0,114,255,,,,,,,,,,,,
0,21.8,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,22,0,0,3,0,0,0,0,114,255,,,,,,,,,,,,
0,22.2,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,22.4,0,0,3,0,0,0,0,129,255,,,,,,,,,,,,
0,22.6,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
1,22.8,0,6,0,179.1862,101.4442,30.39,0.8847,117,255,,,,,,,,,,,,
0,23,0,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,23.2,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,23.4,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,23.6,0,0,3,0,0,0,0,115,255,,,,,,,,,,,,
0,23.8,0,0,3,0,0,0,0,115,255,,,,,,,,,,,,
0,24,0,0,3,0,0,0,0,114,255,,,,,,,,,,,,
0,24.2,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,24.4,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
1,24.6,0,6,0,6.4259,78.6765,18.3282,1.6335,108,255,,,,,,,,,,,,
0,24.8,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,25,0,0,3,0,0,0,0,114,255,,,,,,,,,,,,
0,25.2,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,25.4,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,25.6,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,25.8,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,26,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,26.2,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,26.4,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,26.6,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,26.8,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,27,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,27.2,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,27.4,0,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,27.6,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,27.8,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,28,0,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,28.2,0,0,3,0,0,0,0,118,255,,,,,,,,,,,,
0,28.4,0,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,28.6,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,28.8,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,29,0,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,29.2,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,29.4,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,29.6,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,29.8,0,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,30,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,30.2,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,30.4,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,30.6,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,30.8,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,31,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,31.2,0,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,31.4,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,31.6,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,31.8,0,0,3,0,0,0,0,104,255,,,,,,,,,,,,
0,32,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,32.2,0,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,32.4,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,32.6,0,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,32.8,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,33,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,33.2,0,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,33.4,0,0,3,0,0,0,0,124,255,,,,,,,,,,,,
0,33.6,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,33.8,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,34,0,0,3,0,0,0,0,115,255,,,,,,,,,,,,
0,34.2,0,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,34.4,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,34.6,0,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,34.8,0,0,3,0,0,0,0,126,255,,,,,,,,,,,,
0,35,0,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,35.2,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,35.4,0,0,3,0,0,0,0,115,255,,,,,,,,,,,,
0,35.6,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,35.8,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,36,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,36.2,0,0,3,0,0,0,0,103,255,,,,,,,,,,,,
0,36.4,0,0,3,0,0,0,0,100,255,,,,,,,,,,,,
0,36.6,0,0,3,0,0,0,0,97,255,,,,,,,,,,,,
0,36.8,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,37,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,37.2,0,0,3,0,0,0,0,102,255,,,,,,,,,,,,
0,37.4,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,37.6,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,37.8,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,38,0,0,3,0,0,0,0,104,255,,,,,,,,,,,,
0,38.2,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,38.4,0,0,3,0,0,0,0,102,255,,,,,,,,,,,,
2,38.6,0,6,0,336.896,21.8667,20.3487,1.1035,109,255,,,,,,,,,,,,
0,38.8,0,0,3,0,0,0,0,101,255,,,,,,,,,,,,
0,39,0,0,3,0,0,0,0,103,255,,,,,,,,,,,,
0,39.2,0,0,3,0,0,0,0,101,255,,,,,,,,,,,,
0,39.4,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,39.6,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,39.8,0,0,3,0,0,0,0,103,255,,,,,,,,,,,,
0,40,0,0,3,0,0,0,0,102,255,,,,,,,,,,,,
0,40.2,0,0,3,0,0,0,0,102,255,,,,,,,,,,,,
0,40.4,0,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,40.6,0,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,40.8,0,0,3,0,0,0,0,111,255,,,,,,,,,,,,
0,41,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,41.2,0,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,41.4,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,41.6,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,41.8,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,42,0,0,3,0,0,0,0,101,255,,,,,,,,,,,,
0,42.2,0,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,42.4,0,0,3,0,0,0,0,103,255,,,,,,,,,,,,
0,42.6,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,42.8,0,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,43,0,0,3,0,0,0,0,124,255,,,,,,,,,,,,
0,43.2,0,0,3,0,0,0,0,112,255,,,,,,,,,,,,
1,43.4,0,6,0,137.202,73.4699,40.9375,1.5287,109,255,,,,,,,,,,,,
0,43.6,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,43.8,0,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,0,0.2,0,3,0,0,0,0,86,255,,,,,,,,,,,,
0,0.2,0.2,0,3,0,0,0,0,96,255,,,,,,,,,,,,
0,0.4,0.2,0,3,0,0,0,0,90,255,,,,,,,,,,,,
0,0.6,0.2,0,3,0,0,0,0,104,255,,,,,,,,,,,,
0,0.8,0.2,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,1,0.2,0,3,0,0,0,0,102,255,,,,,,,,,,,,
0,1.2,0.2,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,1.4,0.2,0,3,0,0,0,0,114,255,,,,,,,,,,,,
0,1.6,0.2,0,3,0,0,0,0,108,255,,,,,,,,,,,,
0,1.8,0.2,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,2,0.2,0,3,0,0,0,0,107,255,,,,,,,,,,,,
0,2.2,0.2,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,2.4,0.2,0,3,0,0,0,0,105,255,,,,,,,,,,,,
0,2.6,0.2,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,2.8,0.2,0,3,0,0,0,0,110,255,,,,,,,,,,,,
0,3,0.2,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,3.2,0.2,0,3,0,0,0,0,116,255,,,,,,,,,,,,
0,3.4,0.2,0,3,0,0,0,0,118,255,,,,,,,,,,,,
0,3.6,0.2,0,3,0,0,0,0,125,255,,,,,,,,,,,,
